46,35,-95,6
-55,-17,-74,62
66,66,27,22
18,-66,-69,-3
-91,-22,-16,36
-49,18,96,1
-18,78,-67,100
90,97,-79,52
57,-57,-24,-21
84,78,47,59
-57,96,91,76
-24,49,-94,96
-37,47,-34,30
87,-66,59,61
-73,-73,-52,35
-36,-44,59,14
-10,17,-17,75
-17,-1,-59,-44
12,100,-13,55
-49,45,73,91
98,79,-5,81
79,-90,11,-60
32,65,56,-100
48,-40,61,52
-70,99,-77,-55
47,-98,-6,51
75,-68,67,-62
93,-32,31,-16
96,-21,52,-8
10,-95,-30,-22
-50,65,-26,-73
30,-50,30,-15
53,-84,-31,46
-93,71,-99,-19
-37,33,-38,-63
32,-35,-6,34
32,-98,85,-72
-33,8,-65,-91
-77,38,87,-93
-72,-53,71,-94
89,-25,-87,-84
-64,-65,63,55
-87,72,-81,-23
-40,-91,86,54
7,9,0,86
26,-36,-64,52
-91,75,9,-32
47,63,-69,-99
7,84,-96,-71
-51,5,-14,61
53,54,-9,86
-81,67,-62,-83
93,-16,-29,-4
-54,31,88,11
9,-96,-70,-71
-21,14,-45,-82
27,79,97,-33
44,14,-67,33
-92,13,70,-76
-78,-72,7,-94
45,85,35,100
-7,16,99,-100
36,95,-90,-50
-1,63,15,42
51,36,-44,-48
-70,-31,87,57
-84,-42,44,-28
-24,-46,-76,89
-16,74,-12,-1
7,-22,17,89
72,-68,-69,39
25,-96,-98,11
-100,-65,24,24
58,29,-32,-72
-11,-77,12,-33
10,-62,-44,51
-17,-1,-42,-48
-7,58,47,41
14,87,49,84
55,-73,-22,17
94,43,2,49
-87,-14,17,-14
78,22,34,-32
78,-14,92,-27
-64,-7,-100,-69
94,67,-30,58
87,38,97,37
96,-45,95,84
-34,-49,17,88
-50,51,92,-73
82,83,-59,-47
35,84,-81,-13
-33,-40,34,-69
-13,69,-32,-87
27,5,-20,95
81,-71,-46,76
43,58,37,42
-66,-96,54,48
18,-36,99,64
39,72,-73,-32
83,12,-31,-69
-25,-71,31,31
12,33,18,-44
1,-48,91,-75
36,-31,-73,-23
-37,82,-75,97
62,-44,-15,65
36,66,30,-26
-29,-51,-77,-26
-90,17,55,70
-36,23,59,38
-22,31,-86,-37
41,66,21,77
-26,-75,-54,-72
93,-61,-49,-49
-70,93,-51,39
16,-81,79,-21
22,9,65,-51
-64,-47,-44,12
-76,7,-31,30
-23,-100,81,69
28,66,-67,-13
-2,11,0,98
-6,-7,-1,66
10,-1,47,-62
-88,40,30,34
42,37,57,80
-42,-69,-53,-16
46,-50,-39,-2
-90,-98,-48,12
-8,-54,-48,-99
-22,-67,67,69
-13,98,-10,-96
-52,56,13,-93
-94,-38,-42,38
14,-69,-47,12
7,36,-9,10
-13,75,-5,55
94,-95,46,39
-87,78,44,43
94,22,-46,-20
24,-22,-78,37
87,-45,-87,-5
-84,7,29,44
43,35,-60,50
21,-5,63,66
95,-5,90,-34
-29,-1,-21,-46
-44,-46,97,-27
100,32,81,-41
16,-21,-72,24
-53,86,86,60
93,44,-44,-91
94,3,-36,3
53,72,-76,-81
-53,-47,-65,-81
21,93,36,-44
-26,-93,-67,68
-29,78,-86,85
-31,13,96,-7
85,23,72,-82
100,94,-70,-29
-10,-60,24,90
-49,37,72,49
89,-27,-11,-50
-2,24,93,46
-61,60,63,54
-16,18,-83,-64
46,79,36,100
-5,7,-73,12
-69,30,-17,-36
30,-17,6,93
72,-84,-33,-50
62,-70,-92,-4
-29,53,68,53
38,-20,68,74
-19,17,52,80
-19,62,48,-29
4,-62,-9,-9
-30,88,21,-47
77,41,25,48
-30,-43,86,-11
-52,55,43,46
-36,-41,-14,-81
-59,-19,58,31
77,-6,70,-98
-91,2,-18,48
67,96,100,61
90,-11,-5,70
96,95,99,19
-83,100,91,-74
87,-12,-23,-8
-7,67,-41,-76
21,-43,-51,-99
-36,-59,19,-30
-7,14,-31,66
76,-52,80,15
94,65,80,-46
-98,63,-20,1
-32,-34,10,56
96,29,22,56
-35,-82,71,69
-36,3,-68,34
-44,-58,-22,-93
-1,-53,-58,-62
-37,96,78,100
-25,21,-31,1
-82,67,-17,46
-24,15,83,36
7,-72,18,-46
49,-19,-100,62
-70,-45,36,-2
39,35,55,-78
-13,87,80,-49
68,-74,81,-17
41,-6,2,3
37,-72,92,-5
66,-22,-15,-97
-75,-80,93,-48
8,51,93,13
33,-35,38,76
100,29,-58,-67
44,-98,36,-98
-96,14,-56,75
76,6,-28,4
-23,-70,-37,92
-64,58,-64,-8
-79,1,65,42
91,-86,18,-46
53,40,59,-12
54,80,-92,-71
-48,92,21,-86
-81,100,-77,20
-28,97,-55,-5
83,70,50,76
-80,31,-85,-86
59,-38,-23,-31
-99,57,99,75
40,100,2,-2
-58,73,89,75
-54,-53,48,-35
-57,77,58,30
-48,77,51,-82
21,-4,7,87
100,77,76,47
-29,11,-13,31
19,0,0,-74
-61,-10,23,45
8,68,-42,46
60,4,-96,-23
74,51,-8,60
-8,-77,-91,99
5,65,-72,76
-26,-54,47,-57
0,-68,-25,-61
42,91,-7,-23
